"ID" "model" "year" "price" "transmission" "mileage" "fuelType" "mpg"
"159" "Yaris" 2016 7495 "Manual" 52000 "Diesel" 80.7
"160" "Yaris" 2013 4698 "Manual" 87210 "Diesel" 72.4
"161" "Yaris" 2014 5495 "Manual" 52354 "Diesel" 72.4
"162" "Yaris" 2017 8995 "Manual" 34985 "Diesel" 80.7
"163" "Yaris" 2017 8295 "Manual" 34000 "Diesel" 80.7
"164" "Yaris" 2017 8495 "Manual" 28000 "Diesel" 80.7
"165" "Yaris" 2017 9995 "Manual" 24630 "Diesel" 80.7
"166" "Yaris" 2017 7000 "Manual" 64754 "Diesel" 80.7
"167" "Yaris" 2014 5995 "Manual" 60067 "Diesel" 72.4
"168" "Yaris" 2014 6100 "Manual" 47481 "Diesel" 72.4
"169" "Yaris" 2016 7499 "Manual" 40329 "Diesel" 72.4
"170" "Yaris" 2013 5590 "Manual" 53996 "Diesel" 72.4
"171" "Yaris" 2014 5590 "Manual" 75452 "Diesel" 74.3
"172" "Yaris" 2015 6498 "Manual" 46604 "Diesel" 80.7
"173" "Yaris" 2014 6295 "Manual" 42472 "Diesel" 72.4
"174" "Yaris" 2016 6895 "Manual" 40254 "Diesel" 80.7
"175" "Yaris" 2016 5490 "Manual" 68000 "Diesel" 80.7
"176" "Yaris" 2014 5999 "Manual" 45876 "Diesel" 72.4
"177" "Yaris" 2017 6495 "Manual" 66279 "Diesel" 80.7
"178" "Yaris" 2012 5495 "Manual" 37294 "Diesel" 72.4
"179" "Yaris" 2015 6989 "Manual" 24000 "Diesel" 80.7
"180" "Yaris" 2006 2490 "Manual" 62000 "Diesel" 62.8
"476" "Yaris" 2018 13999 "Manual" 12080 "Hybrid" 67.3
"477" "Yaris" 2018 14290 "Manual" 5644 "Hybrid" 67.3
"478" "Yaris" 2018 12890 "Manual" 9446 "Hybrid" 67.3
"479" "Yaris" 2016 12300 "Manual" 6148 "Hybrid" 86
"891" "Yaris" 2016 11500 "Automatic" 31911 "Hybrid" 78
"892" "Yaris" 2014 8500 "Automatic" 72053 "Hybrid" 76.3
"893" "Yaris" 2019 15000 "Automatic" 1401 "Hybrid" 76.3
"894" "Yaris" 2016 12500 "Automatic" 23150 "Hybrid" 78
"895" "Yaris" 2016 12695 "Automatic" 15945 "Hybrid" 78
"896" "Yaris" 2014 10495 "Automatic" 29452 "Hybrid" 78
"897" "Yaris" 2019 13698 "Automatic" 8388 "Hybrid" 76.3
"898" "Yaris" 2015 9998 "Automatic" 49026 "Hybrid" 78
"899" "Yaris" 2018 14495 "Automatic" 7562 "Hybrid" 76.3
"900" "Yaris" 2019 16310 "Automatic" 1816 "Hybrid" 76.3
"901" "Yaris" 2016 10572 "Automatic" 35588 "Hybrid" 86
"902" "Yaris" 2015 10895 "Automatic" 34012 "Hybrid" 78
"903" "Yaris" 2015 10498 "Automatic" 29311 "Hybrid" 78
"904" "Yaris" 2014 8498 "Automatic" 57677 "Hybrid" 80.7
"905" "Yaris" 2013 10498 "Automatic" 9425 "Hybrid" 80.7
